SoCCCD,HoTen,GioiTinh,NgaySinh,NgayVaoDang,DienDangVien,NgayChinhThuc,TrangThaiSinhHoat,DiaChi,QueQuan,NoiThuongTru,DanToc,NgheNghiep,GDPT,LyLuanChinhTri,SoDienThoai,TenChiBo
063940909705,Trần Bảo Nhung,Nữ,1939-09-28,1958-09-02,Chính thức,1959-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0640685085,Chi bộ Quân sự phường Sơn Trà
050866920011,Đỗ Quang Quân,Nam,1987-06-12,2006-03-26,Chính thức,2007-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0072516195,Chi bộ trường Tiểu học Tô Hiến Thành
004714019825,Nguyễn Gia Hùng,Nam,2003-05-29,2022-03-26,Chính thức,2023-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0470387854,Chi bộ khu dân cư 25
067924146619,Đặng Văn Hiếu,Nam,1992-12-10,2011-03-26,Chính thức,2012-03-26,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0997851500,Chi bộ Trạm Y tế phường
066860003458,Dương Đức Hùng,Nam,1997-11-05,2016-05-19,Chính thức,2017-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0930123023,Chi bộ khu dân cư 40
054073366795,Nguyễn Mai Hạnh,Nữ,1976-11-16,1995-03-26,Chính thức,1996-03-26,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0952314332,Chi bộ HTX Nông nghiệp cũ
050548868311,Vũ Diệu Duyên,Nữ,1987-01-03,2005-05-19,Chính thức,2006-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0098982925,Chi bộ khu dân cư 16
075076956132,Dương Thị Lan,Nữ,1972-09-18,1991-05-19,Chính thức,1992-05-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0465192540,Chi bộ Cơ quan UBND phường
090092635955,Võ Thu Giang,Nữ,1993-05-22,2012-03-26,Chính thức,2013-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0740913791,Chi bộ khu dân cư 11
053486940074,Ngô Ngọc Mai,Nữ,1968-06-27,1987-02-03,Chính thức,1988-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0352774372,Chi bộ khu dân cư 10
005851063311,Dương Ngọc Dũng,Nam,1992-07-10,2011-09-02,Chính thức,2012-09-02,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0785873029,Chi bộ khu dân cư 31
039453840547,Trần Thanh Dũng,Nam,1957-03-18,1975-08-19,Chính thức,1976-08-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0901650081,Chi bộ khu dân cư 06
044599688887,Hoàng Ngọc Phong,Nam,2003-10-27,2022-05-19,Chính thức,2023-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0730120816,Chi bộ khu dân cư 34
063039498898,Trần Thanh Giang,Nữ,1950-10-24,1969-08-19,Chính thức,1970-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0102772513,Chi bộ khu dân cư 06
029088401478,Đỗ Thu Phương,Nữ,1970-09-25,1989-05-19,Chính thức,1990-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0210010552,Chi bộ khu dân cư 30
067692918475,Trần Gia Hải,Nam,1999-06-29,2018-03-26,Chính thức,2019-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0268573003,Chi bộ trường Tiểu học Tô Hiến Thành
037736204681,Nguyễn Hữu Tuấn,Nam,1998-07-17,2017-05-19,Chính thức,2018-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0040244787,Chi bộ khu dân cư 35
016134596977,Vũ Quang Hiếu,Nam,1959-01-18,1977-05-19,Chính thức,1978-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0390155648,Chi bộ Quân sự phường Sơn Trà
052903568186,Phạm Văn Hải,Nam,1962-07-16,1981-03-26,Chính thức,1982-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0421084123,Chi bộ Nghiệp đoàn Nghề cá
024694303921,Nguyễn Công Hiếu,Nam,1978-02-14,1996-02-03,Chính thức,1997-02-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0985186751,Chi bộ trường Tiểu học Tô Hiến Thành
095734250044,Võ Ngọc My,Nữ,1987-05-31,2006-05-19,Chính thức,2007-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0129165697,Chi bộ khu dân cư 22
045128826389,Phạm Ngọc Anh,Nữ,1990-05-15,2009-05-19,Chính thức,2010-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0607869448,Chi bộ trường Tiểu học Tô Hiến Thành
057395776314,Đặng Văn Hùng,Nam,2003-06-10,2022-09-02,Chính thức,2023-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0435004482,Chi bộ khu dân cư 13
045763092489,Hoàng Phương Duyên,Nữ,1964-10-24,1983-08-19,Chính thức,1984-08-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0139308177,Chi bộ khu dân cư 25
049773592835,Bùi Quang An,Nam,2004-04-28,2023-08-19,Chính thức,2024-08-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0474199306,Chi bộ khu dân cư 25
094840524394,Đỗ Hữu Nam,Nam,1976-12-12,1995-03-26,Chính thức,1996-03-26,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0945698606,Chi bộ khu dân cư 05
062641469326,Phan Thu Nhung,Nữ,1967-11-25,1986-08-19,Chính thức,1987-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0407161521,Chi bộ khu dân cư 32
057944555018,Nguyễn Thanh Thành,Nam,2004-09-06,2023-02-03,Chính thức,2024-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0128187740,Chi bộ khu dân cư 09
046298337754,Võ Văn Bình,Nam,1966-04-13,1985-03-26,Chính thức,1986-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0341334931,Chi bộ khu dân cư 20
015175267917,Hồ Anh An,Nam,2002-10-12,2021-08-19,Chính thức,2022-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0914664052,Chi bộ khu dân cư 09
008436572472,Đỗ Quang Hải,Nam,1972-12-20,1991-08-19,Chính thức,1992-08-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0075072379,Chi bộ khu dân cư 10
002890162526,Đặng Thanh Phong,Nam,1999-11-21,2018-03-26,Chính thức,2019-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0907564951,Chi bộ khu dân cư 35
067734974336,Phan Diệu Hoa,Nữ,1956-01-14,1974-05-19,Chính thức,1975-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0970883220,Chi bộ khu dân cư 12
099526310892,Vũ Minh An,Nam,2006-09-13,2025-05-19,Chính thức,2026-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0054649707,Chi bộ khu dân cư 25
058990972923,Vũ Thị Linh,Nữ,2006-07-23,2025-08-19,Chính thức,2026-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0352610261,Chi bộ khu dân cư 37
056825375455,Phạm Hữu Phong,Nam,1951-04-02,1969-09-02,Chính thức,1970-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0274914581,Chi bộ Nghiệp đoàn Nghề cá
035550873269,Bùi Minh Sơn,Nam,1995-12-26,2014-09-02,Chính thức,2015-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0678933245,Chi bộ Ban Quản lý Dự án X
067762425755,Đặng Thu Thảo,Nữ,1951-10-28,1970-03-26,Chính thức,1971-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0805346648,Chi bộ khu dân cư 22
061787664457,Lê Gia Nam,Nam,2006-08-25,2025-03-26,Chính thức,2026-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0902651641,Chi bộ khu dân cư 30
023623253883,Trần Ngọc Khang,Nam,2006-08-10,2025-03-26,Chờ xét,,Chuyển sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0716481624,Chi bộ khu dân cư 38
073410299368,Hồ Công Hùng,Nam,1993-04-21,2012-08-19,Chính thức,2013-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0418919658,Chi bộ Công an phường
021372816051,Lê Anh Bình,Nam,1969-06-29,1988-02-03,Chính thức,1989-02-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0550907903,Chi bộ khu dân cư 30
007241103143,Đỗ Anh Long,Nam,1966-11-11,1985-03-26,Chính thức,1986-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0060640971,Chi bộ khu dân cư 23
047886381254,Lê Gia Khang,Nam,1979-07-02,1998-05-19,Chính thức,1999-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0619506618,Chi bộ khu dân cư 12
023805967943,Vũ Thanh Phong,Nam,1967-09-01,1986-02-03,Chính thức,1987-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0740004021,Chi bộ khu dân cư 37
053761336182,Đỗ Thanh Duyên,Nữ,2003-07-14,2022-09-02,Chính thức,2023-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0243291938,Chi bộ khu dân cư 07
068982047451,Phan Công Tuấn,Nam,1990-05-24,2009-02-03,Chính thức,2010-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0410894601,Chi bộ khu dân cư 15
024737290196,Dương Kim Phương,Nữ,2005-04-25,2024-08-19,Chính thức,2025-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0864711483,Chi bộ khu dân cư 35
068892506619,Lê Văn Phong,Nam,1998-09-30,2017-03-26,Chính thức,2018-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0183326168,Chi bộ khu dân cư 38
073272288772,Đỗ Bảo Ngân,Nữ,1998-11-30,2017-03-26,Chính thức,2018-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0060212910,Chi bộ khu dân cư 04
028956873884,Võ Công Khang,Nam,2001-10-09,2020-03-26,Chính thức,2021-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0622489313,Chi bộ HTX Nông nghiệp cũ
063958357805,Đặng Mai Lan,Nữ,1953-04-01,1971-02-03,Chính thức,1972-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0189862404,Chi bộ khu dân cư 21
058256936753,Nguyễn Bảo Thảo,Nữ,1990-09-03,2009-02-03,Chính thức,2010-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0759883738,Chi bộ khu dân cư 13
056471767043,Nguyễn Kim Duyên,Nữ,1982-05-18,2001-08-19,Chính thức,2002-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0222586960,Chi bộ khu dân cư 38
063079269078,Huỳnh Ngọc Khang,Nam,1993-07-02,2012-08-19,Chính thức,2013-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0947292567,Chi bộ Ban Quản lý Dự án X
083192687433,Huỳnh Gia Khang,Nam,2006-01-04,2024-09-02,Chính thức,2025-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0012449799,Chi bộ khu dân cư 12
094412324846,Đỗ Ngọc Cường,Nam,1968-04-28,1987-09-02,Chính thức,1988-09-02,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0979727848,Chi bộ khu dân cư 26
081242016603,Đỗ Ngọc Thảo,Nữ,1946-05-20,1965-08-19,Chính thức,1966-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0308059006,Chi bộ khu dân cư 39
060952524180,Trần Minh Long,Nam,1963-04-20,1982-09-02,Chính thức,1983-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0569936479,Chi bộ khu dân cư 24
038148469394,Lê Thanh Cường,Nam,1981-11-08,2000-02-03,Chính thức,2001-02-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0956450855,Chi bộ khu dân cư 39
083429358234,Hoàng Ngọc Bình,Nam,2006-04-04,2024-08-19,Chính thức,2025-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0276115355,Chi bộ Nghiệp đoàn Nghề cá
016586349573,Đặng Diệu Phương,Nữ,2004-09-17,2023-05-19,Chính thức,2024-05-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0901724844,Chi bộ khu dân cư 18
019715513301,Phạm Hữu Khang,Nam,1969-10-19,1988-08-19,Chính thức,1989-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0380707847,Chi bộ khu dân cư 40
031930511053,Nguyễn Anh Sơn,Nam,2005-04-27,2024-08-19,Chính thức,2025-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0359008703,Chi bộ khu dân cư 03
062450359744,Huỳnh Đức Quân,Nam,1964-09-27,1983-05-19,Chính thức,1984-05-19,Chuyển sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0047225880,Chi bộ khu dân cư 13
014272665552,Bùi Thu Châu,Nữ,1954-09-22,1973-09-02,Chính thức,1974-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0979869798,Chi bộ trường Tiểu học Tô Hiến Thành
025986003262,Nguyễn Văn Bình,Nam,1975-10-14,1994-09-02,Chính thức,1995-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0182440161,Chi bộ khu dân cư 24
076645201619,Vũ Quang Dũng,Nam,1952-05-03,1971-08-19,Chính thức,1972-08-19,Chuyển sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0982702154,Chi bộ khu dân cư 07
065754731332,Nguyễn Đức Hùng,Nam,1986-08-22,2005-05-19,Chính thức,2006-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0668929822,Chi bộ Quân sự phường Sơn Trà
028232457001,Phan Diệu Phương,Nữ,1974-06-09,1993-03-26,Chính thức,1994-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0457141689,Chi bộ khu dân cư 31
003941798952,Lê Thu Hoa,Nữ,1972-08-18,1991-05-19,Chính thức,1992-05-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0019122935,Chi bộ Công an phường
026445437410,Hoàng Anh Cường,Nam,1953-10-06,1972-02-03,Chính thức,1973-02-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0118924890,Chi bộ khu dân cư 09
077825325672,Đỗ Bảo My,Nữ,1990-02-19,2008-09-02,Chính thức,2009-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0997565977,Chi bộ HTX Nông nghiệp cũ
066691278847,Hoàng Công Bình,Nam,1993-06-15,2012-02-03,Chính thức,2013-02-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0558363952,Chi bộ Trạm Y tế phường
076552727376,Hồ Ngọc Mai,Nữ,2001-05-13,2020-08-19,Chính thức,2021-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0611157688,Chi bộ Nghiệp đoàn Nghề cá
068535949957,Dương Bảo Phương,Nữ,1957-08-26,1976-03-26,Chính thức,1977-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0105301889,Chi bộ khu dân cư 03
020597328439,Bùi Anh Hùng,Nam,1993-05-31,2012-02-03,Chính thức,2013-02-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0381363820,Chi bộ khu dân cư 06
057145404419,Bùi Diệu Thảo,Nữ,1996-09-18,2015-09-02,Chính thức,2016-09-02,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0268181147,Chi bộ khu dân cư 09
035442421489,Đặng Hữu An,Nam,2004-03-02,2022-03-26,Chính thức,2023-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0617957526,Chi bộ Nghiệp đoàn Nghề cá
052198421897,Nguyễn Bảo Phương,Nữ,2006-12-18,2025-09-02,Chờ xét,,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0480189185,Chi bộ khu dân cư 37
026558104941,Bùi Thị Hạnh,Nữ,2001-01-14,2019-05-19,Chính thức,2020-05-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0462459785,Chi bộ khu dân cư 25
065642191561,Võ Quang Sơn,Nam,1971-05-26,1990-02-03,Chính thức,1991-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0986905008,Chi bộ khu dân cư 18
032648635575,Hoàng Kim Trang,Nữ,1997-09-11,2016-03-26,Chính thức,2017-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0344839176,Chi bộ khu dân cư 31
074725862776,Hoàng Văn Hùng,Nam,1927-06-19,1946-08-19,Chính thức,1947-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0678108567,Chi bộ Ban Quản lý Dự án X
